com.paullipnyagov.ui.PadsFragment$ConvertTask:  void  <init>(com.paullipnyagov.ui.PadsFragment,com.paullipnyagov.ui.PadsFragment$1)	com.paullipnyagov.ui.PadsFragment$ConvertTask:  void  <init>(com.paullipnyagov.ui.PadsFragment)
com.paullipnyagov.videorecorder.GLRenderer:  void  setup(int,int,android.graphics.Bitmap)	com.paullipnyagov.videorecorder.GLRenderer:  void  setupTriangle()
com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackFreshAppClicked(android.content.Context,java.lang.String)	com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackFirebaseEvent(java.lang.String,java.lang.String,java.lang.String)
com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackStopToPlayRecord(android.content.Context,java.lang.String)	com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  initAppTracker(android.content.Context)
com.paullipnyagov.freshApps.TextFileDownloader$1:  java.lang.Object  doInBackground(java.lang.Object[])	com.paullipnyagov.freshApps.TextFileDownloader$1:  java.lang.Boolean  doInBackground(java.lang.Void[])
com.paullipnyagov.util.GoogleMediationAdsUtils$2:  void  onClick(android.content.DialogInterface,int)	com.paullipnyagov.util.GoogleMediationAdsUtils:  com.paullipnyagov.util.GoogleMediationAdsUtils  getInstance()
com.paullipnyagov.ui.dialogs.SaveShareRecordDialog:  void  <init>(android.view.View,android.app.Activity)	com.paullipnyagov.ui.dialogs.SaveShareRecordDialog$3:  void  <init>(com.paullipnyagov.ui.dialogs.SaveShareRecordDialog)
com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackCustomPresetFinishedToSaveInfo(android.content.Context,java.lang.String)	com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  initAppTracker(android.content.Context)
com.paullipnyagov.network.DownloadAndUnzipTask:  void  onPreExecute()	com.paullipnyagov.ui.dialogs.DrumProgressDialog:  void  setOnCancelClickListener(android.view.View$OnClickListener)
com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackRewardedVideoRewarded(android.content.Context,java.lang.String)	com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  initAppTracker(android.content.Context)
com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackShareRecord(android.content.Context,java.lang.String)	com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackFirebaseEvent(java.lang.String,java.lang.String,java.lang.String)
com.paullipnyagov.activity.PadsActivity:  void  onCreate(android.os.Bundle)	com.paullipnyagov.activity.PadsActivity$12:  void  <init>(com.paullipnyagov.activity.PadsActivity)
com.paullipnyagov.myutillibrary.imageUtils.ColorFilterGenerator:  void  adjustSaturation(android.graphics.ColorMatrix,float)	com.paullipnyagov.myutillibrary.imageUtils.ColorFilterGenerator:  float  cleanValue(float,float)
com.paullipnyagov.freshApps.FreshAppsFragment:  android.view.View  onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)	com.paullipnyagov.freshApps.FreshAppsWorker:  void  <init>()
com.paullipnyagov.activity.PadsActivity:  java.lang.String  getSuggestedFileName(java.lang.String)	com.paullipnyagov.activity.PadsActivity:  boolean  doesFileExist(java.io.File[],java.lang.String)
com.paullipnyagov.ui.NewMenuFragment:  android.view.View  onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)	com.paullipnyagov.ui.NewMenuFragment$4:  void  <init>(com.paullipnyagov.ui.NewMenuFragment)
com.paullipnyagov.ui.NewMenuFragment$3$1$2:  void  onClick(android.content.DialogInterface,int)	com.paullipnyagov.myutillibrary.systemUtils.FileSystemUtils:  boolean  deleteDirectory(java.io.File)
com.paullipnyagov.util.RecordsPlayer$1$1:  void  run()	com.paullipnyagov.util.RecordsPlayer:  com.paullipnyagov.data.dto.RecordItem  access$102(com.paullipnyagov.data.dto.RecordItem)
com.paullipnyagov.activity.PadsActivity$3:  void  onPostExecute(java.lang.Object)	com.paullipnyagov.activity.PadsActivity$3:  void  onPostExecute(java.lang.Boolean)
com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackPadEditorPlayModeChanged(android.content.Context)	com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackFirebaseEvent(java.lang.String,java.lang.String,java.lang.String)
com.paullipnyagov.ui.view.PresetTypeSelectorView:  void  <init>(android.content.Context,android.util.AttributeSet)	com.paullipnyagov.ui.view.PresetTypeSelectorView:  void  init(android.content.Context)
com.paullipnyagov.network.PlaylistGetTask:  java.lang.Object  doInBackground(java.lang.Object[])	com.paullipnyagov.network.PlaylistGetTask:  java.lang.Boolean  doInBackground(java.lang.Void[])
com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackPromoButtonClick(android.content.Context,java.lang.String)	com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  initAppTracker(android.content.Context)
com.paullipnyagov.myutillibrary.ShakeListener:  void  <init>(android.content.Context)	com.paullipnyagov.myutillibrary.ShakeListener:  void  resume()
com.paullipnyagov.ui.SettingsFragment:  android.view.View  onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)	com.paullipnyagov.util.PreferenceUtil:  boolean  isNotifyEnabled(android.content.Context)
com.paullipnyagov.ui.NewMenuFragment:  void  access$100(com.paullipnyagov.ui.NewMenuFragment)	com.paullipnyagov.ui.NewMenuFragment:  void  refreshFavouritesList()
com.paullipnyagov.wavfiletools.WavFile:  int  readFrames(int[][],int)	com.paullipnyagov.wavfiletools.WavFile:  int  readFrames(int[][],int,int)
com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackCustomPresetStartedToUpload(android.content.Context,java.lang.String)	com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackFirebaseEvent(java.lang.String,java.lang.String,java.lang.String)
com.paullipnyagov.adapter.PresetsAdapter:  void  <init>(android.app.Activity,java.util.List)	com.paullipnyagov.adapter.PresetsAdapter$3:  void  <init>(com.paullipnyagov.adapter.PresetsAdapter)
com.paullipnyagov.myutillibrary.imageUtils.ColorFilterGenerator:  void  adjustHue(android.graphics.ColorMatrix,float)	com.paullipnyagov.myutillibrary.imageUtils.ColorFilterGenerator:  float  cleanValue(float,float)
com.paullipnyagov.myutillibrary.imageUtils.ColorFilterGenerator:  com.paullipnyagov.myutillibrary.imageUtils.ColorFilterGenerator$From  'from'(android.graphics.drawable.Drawable)	com.paullipnyagov.myutillibrary.imageUtils.ColorFilterGenerator:  android.graphics.Bitmap  drawableToBitmap(android.graphics.drawable.Drawable)
com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackPurchasePresetFailed(android.content.Context,java.lang.String,java.lang.String)	com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  initAppTracker(android.content.Context)
com.paullipnyagov.ui.VideofeedFragment$3:  void  onRefresh()	com.paullipnyagov.ui.VideofeedFragment:  void  access$100(com.paullipnyagov.ui.VideofeedFragment,com.paullipnyagov.ui.view.PullToRefreshListView)
com.paullipnyagov.util.GoogleMediationAdsUtils$2$1:  void  onAdClosed()	com.paullipnyagov.ui.ParameterClickListener:  void  setParam(java.lang.Object)
com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackCustomPresetStartedToShare(android.content.Context,java.lang.String)	com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackFirebaseEvent(java.lang.String,java.lang.String,java.lang.String)
com.paullipnyagov.activity.PadsActivity:  void  access$200(com.paullipnyagov.activity.PadsActivity,boolean)	com.paullipnyagov.activity.PadsActivity:  void  recordToggle(boolean)
com.paullipnyagov.ui.view.PullToRefreshListView:  void  setRefreshing()	com.paullipnyagov.ui.view.PullToRefreshListView:  void  setHeaderPadding(int)
com.paullipnyagov.hiphopdrumpads24.MainActivity:  void  onCreate(android.os.Bundle)	com.paullipnyagov.activity.PadsActivity:  void  onCreate(android.os.Bundle)
com.paullipnyagov.ui.view.PullToRefreshListView$PTROnItemLongClickListener:  boolean  onItemLongClick(android.widget.AdapterView,android.view.View,int,long)	com.paullipnyagov.ui.view.PullToRefreshListView:  boolean  access$1202(com.paullipnyagov.ui.view.PullToRefreshListView,boolean)
com.paullipnyagov.adapter.PresetsAdapter:  void  initTopAdsView(android.app.Activity)	com.paullipnyagov.data.DataProvider:  java.util.List  getAds()
com.paullipnyagov.ui.dialogs.SaveShareRecordDialog:  void  initMediaPlayer()	com.paullipnyagov.ui.dialogs.SaveShareRecordDialog:  void  setProgressIndicatorWidth(float)
com.paullipnyagov.ui.view.Pad:  void  <init>(android.content.Context)	com.paullipnyagov.ui.view.Pad:  void  init(android.content.Context)
com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackUserStartChangeName(android.content.Context)	com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  initAppTracker(android.content.Context)
com.paullipnyagov.ui.dialogs.SaveShareRecordDialog:  void  access$1500(com.paullipnyagov.ui.dialogs.SaveShareRecordDialog,java.lang.String,java.lang.String,java.lang.String)	com.paullipnyagov.ui.dialogs.SaveShareRecordDialog:  void  launchShareIntent(java.lang.String,java.lang.String,java.lang.String)
com.paullipnyagov.myutillibrary.imageUtils.ColorFilterGenerator:  float[]  access$300(int)	com.paullipnyagov.myutillibrary.imageUtils.ColorFilterGenerator:  float[]  getHsv(int)
com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  trackFXClickedInPreset(android.content.Context,java.lang.String)	com.paullipnyagov.googleanalyticslibrary.GoogleAnalyticsUtil:  void  initAppTracker(android.content.Context)
com.paullipnyagov.activity.PadsActivity:  void  onDestroy()	com.paullipnyagov.util.GoogleMediationAdsUtils:  void  onDestroy()
